COUNTY,TODAYS_DATE,HOSPITALIZED_COVID_CONFIRMED_PATIENTS,HOSPITALIZED_SUSPECTED_COVID_PATIENTS,HOSPITALIZED_COVID_PATIENTS,ALL_HOSPITAL_BEDS,ICU_COVID_CONFIRMED_PATIENTS,ICU_SUSPECTED_COVID_PATIENTS,ICU_AVAILABLE_BEDS
Tehama,2020-03-29,0,0,,,0,0,2
San Francisco,2020-03-29,50,73,,,24,10,61
Los Angeles,2020-03-29,489,1132,,,191,182,345
Shasta,2020-03-29,0,0,,,0,0,
Trinity,2020-03-29,0,0,,,0,0,
San Benito,2020-03-29,1,1,,,1,0,1
Butte,2020-03-29,,,,,,,
Solano,2020-03-29,7,27,,,4,1,28
Marin,2020-03-29,7,13,,,2,6,11
Santa Clara,2020-03-29,141,72,,,65,15,70
Merced,2020-03-29,1,7,,,0,0,3
Placer,2020-03-29,18,14,,,4,1,10
Yuba,2020-03-29,2,12,,,2,4,2
Kern,2020-03-29,16,57,,,8,8,39
Lake,2020-03-29,0,1,,,0,1,2
Tuolumne,2020-03-29,1,5,,,0,0,0
Del Norte,2020-03-29,1,2,,,0,0,3
Mono,2020-03-29,0,1,,,0,0,2
Santa Cruz,2020-03-29,0,0,,,0,0,
Madera,2020-03-29,1,6,,,1,1,8
Modoc,2020-03-29,0,0,,,0,0,
San Diego,2020-03-29,121,211,,,77,39,205
Yolo,2020-03-29,2,3,,,1,1,0
Monterey,2020-03-29,2,16,,,1,2,10
Colusa,2020-03-29,,,,,,,
Napa,2020-03-29,0,26,,,,,5
Fresno,2020-03-29,8,116,,,3,14,22
San Mateo,2020-03-29,46,27,,,16,10,28
Kings,2020-03-29,2,5,,,1,0,2
Plumas,2020-03-29,0,1,,,0,1,
Amador,2020-03-29,1,0,,,0,0,2
Contra Costa,2020-03-29,23,62,,,8,15,62
Sacramento,2020-03-29,36,27,,,12,18,50
Humboldt,2020-03-29,1,10,,,0,0,18
Imperial,2020-03-29,5,100,,,1,2,2
Tulare,2020-03-29,6,13,,,5,3,7
Orange,2020-03-29,74,167,,,31,40,131
San Joaquin,2020-03-29,34,35,,,5,2,7
Alameda,2020-03-29,36,91,,,20,16,119
El Dorado,2020-03-29,0,6,,,0,3,3
Sutter,2020-03-29,0,0,,,0,0,
Santa Barbara,2020-03-29,15,21,,,9,3,47
Sonoma,2020-03-29,7,20,,,2,5,12
Siskiyou,2020-03-29,0,0,,,0,0,2
Calaveras,2020-03-29,,,,,,,
Nevada,2020-03-29,23,,,,1,0,3
Inyo,2020-03-29,,,,,,,
Mendocino,2020-03-29,1,11,,,0,0,1
Ventura,2020-03-29,24,85,,,5,19,14
Stanislaus,2020-03-29,20,48,,,9,8,25
Lassen,2020-03-29,0,2,,,0,0,
San Luis Obispo,2020-03-29,7,12,,,3,4,948
San Bernardino,2020-03-29,33,123,,,19,20,65
Glenn,2020-03-29,,,,,,,
Riverside,2020-03-29,44,78,,,13,20,46
Tuolumne,2020-03-30,1,2,,,0,0,3
Humboldt,2020-03-30,1,8,,,0,0,10
San Diego,2020-03-30,146,446,,,72,23,228
Lassen,2020-03-30,0,4,,,0,0,
Santa Cruz,2020-03-30,0,2,,,0,0,4
Calaveras,2020-03-30,0,3,,,0,1,5
Yolo,2020-03-30,2,2,,,1,2,0
San Bernardino,2020-03-30,67,179,,,27,33,66
Amador,2020-03-30,0,1,,,0,0,4
Mono,2020-03-30,0,1,,,0,0,2
Alameda,2020-03-30,59,89,,,27,18,146
Ventura,2020-03-30,25,82,,,5,28,15
Sonoma,2020-03-30,7,22,,,3,4,29
Santa Clara,2020-03-30,153,93,,,74,23,103
Monterey,2020-03-30,11,16,,,4,0,17
Madera,2020-03-30,1,5,,,1,3,4
Mendocino,2020-03-30,2,11,,,0,1,8
San Joaquin,2020-03-30,28,30,,,8,4,53
Santa Barbara,2020-03-30,19,25,,,11,7,48
Marin,2020-03-30,10,9,,,4,2,16
Yuba,2020-03-30,3,17,,,2,4,10
Butte,2020-03-30,4,12,,,2,1,5
San Luis Obispo,2020-03-30,5,11,,,3,4,957
Orange,2020-03-30,98,251,,,42,58,131
Tulare,2020-03-30,5,21,,,4,6,7
Los Angeles,2020-03-30,601,1277,,,245,244,456
Kern,2020-03-30,18,123,,,6,8,51
Imperial,2020-03-30,19,109,,,3,3,4
Colusa,2020-03-30,0,1,,,0,1,5
El Dorado,2020-03-30,0,9,,,0,6,9
Solano,2020-03-30,15,16,,,6,0,47
Plumas,2020-03-30,0,1,,,0,0,
Del Norte,2020-03-30,0,2,,,0,0,5
Inyo,2020-03-30,,,,,,,
Lake,2020-03-30,0,1,,,0,1,3
Napa,2020-03-30,3,8,,,1,0,9
Siskiyou,2020-03-30,0,0,,,0,0,3
Merced,2020-03-30,1,9,,,0,2,11
Tehama,2020-03-30,0,2,,,0,0,2
Riverside,2020-03-30,60,133,,,22,33,77
San Francisco,2020-03-30,58,92,,,18,7,90
Kings,2020-03-30,2,12,,,1,2,0
Placer,2020-03-30,19,19,,,5,1,29
Shasta,2020-03-30,1,4,,,0,0,13
Modoc,2020-03-30,0,31,,,0,0,
San Mateo,2020-03-30,56,40,,,18,11,47
Trinity,2020-03-30,0,0,,,0,0,
Stanislaus,2020-03-30,17,51,,,9,5,29
Contra Costa,2020-03-30,25,54,,,11,6,90
Glenn,2020-03-30,0,0,,,0,0,
San Benito,2020-03-30,1,1,,,1,0,1
Sacramento,2020-03-30,45,86,,,21,23,58
Fresno,2020-03-30,10,88,,,3,14,24
Nevada,2020-03-30,26,17,,,2,5,3
Sutter,2020-03-30,0,0,,,0,0,
Shasta,2020-03-31,1,5,,,1,0,4
Fresno,2020-03-31,30,274,,,4,19,23
Del Norte,2020-03-31,0,4,,,0,0,3
Marin,2020-03-31,9,14,,,4,2,15
Yuba,2020-03-31,2,21,,,2,4,6
Lake,2020-03-31,0,4,,,0,2,3
Colusa,2020-03-31,0,1,,,0,1,5
Mono,2020-03-31,0,1,,,0,0,2
San Benito,2020-03-31,1,0,,,1,0,1
San Mateo,2020-03-31,60,23,,,18,5,37
Glenn,2020-03-31,0,0,,,0,0,
Imperial,2020-03-31,12,100,,,3,4,4
San Luis Obispo,2020-03-31,7,15,,,3,6,955
San Bernardino,2020-03-31,82,231,,,33,48,63
Santa Clara,2020-03-31,155,98,,,73,17,92
Sutter,2020-03-31,0,0,,,0,0,
Yolo,2020-03-31,3,2,,,2,2,1
Monterey,2020-03-31,11,15,,,4,2,17
Tehama,2020-03-31,0,2,,,0,0,4
Orange,2020-03-31,105,233,,,45,44,131
Butte,2020-03-31,4,20,,,2,3,2
Madera,2020-03-31,1,3,,,1,0,5
Kings,2020-03-31,1,3,,,1,2,4
Santa Cruz,2020-03-31,1,10,,,1,2,7
Siskiyou,2020-03-31,0,0,,,0,0,4
El Dorado,2020-03-31,10,9,,,0,6,12
Mendocino,2020-03-31,0,1,,,0,0,7
San Joaquin,2020-03-31,44,54,,,14,5,28
Solano,2020-03-31,15,15,,,6,5,42
Humboldt,2020-03-31,1,11,,,0,4,8
Merced,2020-03-31,3,11,,,0,2,10
San Francisco,2020-03-31,67,69,,,30,14,77
Los Angeles,2020-03-31,713,1239,,,315,239,445
Nevada,2020-03-31,36,40,,,2,1,6
Modoc,2020-03-31,0,19,,,0,0,
Amador,2020-03-31,0,0,,,0,0,4
Plumas,2020-03-31,0,0,,,0,0,
Stanislaus,2020-03-31,20,31,,,9,1,34
Napa,2020-03-31,1,5,,,1,1,12
Alameda,2020-03-31,56,94,,,27,17,77
Sacramento,2020-03-31,53,110,,,20,31,66
Lassen,2020-03-31,0,7,,,0,0,
Tulare,2020-03-31,6,14,,,4,5,9
Placer,2020-03-31,18,27,,,6,0,28
Inyo,2020-03-31,,83,,,0,0,6
Riverside,2020-03-31,80,155,,,28,59,75
Tuolumne,2020-03-31,0,37,,,0,0,4
Ventura,2020-03-31,21,90,,,5,24,12
Calaveras,2020-03-31,0,1,,,0,0,4
Sonoma,2020-03-31,8,18,,,3,3,21
Kern,2020-03-31,14,63,,,6,6,46
Santa Barbara,2020-03-31,19,29,,,14,7,48
San Diego,2020-03-31,158,408,,,75,39,208
Contra Costa,2020-03-31,27,54,,,11,10,68
Trinity,2020-03-31,0,0,,,0,0,
Solano,2020-04-01,14,18,,,5,2,31
Stanislaus,2020-04-01,25,39,,,10,6,31
San Bernardino,2020-04-01,95,196,,,39,52,34
Merced,2020-04-01,3,15,,,0,3,9
Tuolumne,2020-04-01,0,0,,,0,0,2
San Joaquin,2020-04-01,25,35,,,16,11,21
Mendocino,2020-04-01,0,2,,,0,0,8
Modoc,2020-04-01,0,1,,,0,0,
Nevada,2020-04-01,36,54,,,0,4,3
Humboldt,2020-04-01,1,9,,,0,3,7
Calaveras,2020-04-01,0,1,,,0,0,5
San Benito,2020-04-01,2,0,,,2,0,0
Placer,2020-04-01,25,28,,,6,2,7
Kern,2020-04-01,15,45,,,7,9,32
Santa Barbara,2020-04-01,23,23,,,15,6,51
Colusa,2020-04-01,0,1,,,0,1,5
Kings,2020-04-01,2,6,,,1,2,1
Mono,2020-04-01,0,0,,,0,0,2
Yolo,2020-04-01,3,3,,,1,1,2
Fresno,2020-04-01,19,101,,,5,13,53
Alameda,2020-04-01,52,76,,,27,15,106
Sacramento,2020-04-01,53,138,,,20,33,74
Trinity,2020-04-01,0,0,,,0,0,
San Francisco,2020-04-01,67,66,,,30,8,64
San Mateo,2020-04-01,57,35,,,19,9,36
Mariposa,2020-04-01,0,0,,,0,0,
Tehama,2020-04-01,0,1,,,0,1,4
Madera,2020-04-01,1,3,,,1,0,4
Sonoma,2020-04-01,5,18,,,1,2,22
Napa,2020-04-01,2,2,,,0,1,9
Siskiyou,2020-04-01,0,5,,,0,2,3
Santa Clara,2020-04-01,160,85,,,77,15,91
Riverside,2020-04-01,85,182,,,29,47,76
Butte,2020-04-01,5,33,,,2,4,9
San Luis Obispo,2020-04-01,8,10,,,5,6,968
Marin,2020-04-01,9,19,,,4,2,14
Ventura,2020-04-01,22,96,,,5,23,27
Orange,2020-04-01,117,221,,,50,48,118
Amador,2020-04-01,0,3,,,0,0,2
El Dorado,2020-04-01,14,8,,,1,3,9
Lassen,2020-04-01,0,7,,,0,0,
Imperial,2020-04-01,4,15,,,3,4,7
Yuba,2020-04-01,2,24,,,2,4,6
Monterey,2020-04-01,13,16,,,4,4,15
Santa Cruz,2020-04-01,2,12,,,2,2,3
Inyo,2020-04-01,7,89,,,0,0,6
Contra Costa,2020-04-01,31,42,,,12,12,61
Sutter,2020-04-01,0,0,,,0,0,
Tulare,2020-04-01,4,12,,,3,4,9
Los Angeles,2020-04-01,739,1332,,,335,220,492
Plumas,2020-04-01,0,0,,,0,0,
Del Norte,2020-04-01,0,5,,,0,0,3
Lake,2020-04-01,0,2,,,0,0,2
San Diego,2020-04-01,168,340,,,71,32,215
Glenn,2020-04-01,,,,,,,
Shasta,2020-04-01,1,4,,,0,1,13
Tuolumne,2020-04-02,0,0,,,0,0,2
Lassen,2020-04-02,0,7,,,0,0,
Marin,2020-04-02,7,16,,,3,1,16
Sonoma,2020-04-02,8,18,,,1,0,10
Plumas,2020-04-02,0,0,,,0,0,
Fresno,2020-04-02,17,74,,,6,13,33
San Francisco,2020-04-02,75,60,,,32,11,58
Yuba,2020-04-02,2,25,,,2,6,4
Solano,2020-04-02,15,8,,,7,1,27
Madera,2020-04-02,1,7,,,1,3,6
Colusa,2020-04-02,0,1,,,0,1,5
Kern,2020-04-02,27,77,,,12,23,36
Mono,2020-04-02,18,2,,,0,0,2
Merced,2020-04-02,4,5,,,0,1,3
San Benito,2020-04-02,2,0,,,2,0,0
Los Angeles,2020-04-02,818,1270,,,346,193,488
Sutter,2020-04-02,0,0,,,,,
Napa,2020-04-02,1,4,,,1,1,12
El Dorado,2020-04-02,15,12,,,0,6,10
Placer,2020-04-02,32,15,,,9,0,11
Santa Barbara,2020-04-02,26,44,,,18,10,47
Glenn,2020-04-02,0,0,,,0,0,
Del Norte,2020-04-02,0,3,,,0,0,2
Santa Clara,2020-04-02,163,101,,,69,19,95
Inyo,2020-04-02,8,102,,,0,1,3
San Mateo,2020-04-02,62,40,,,26,4,26
Monterey,2020-04-02,14,14,,,4,2,12
San Joaquin,2020-04-02,42,42,,,20,7,17
Alameda,2020-04-02,57,76,,,29,17,112
San Luis Obispo,2020-04-02,5,5,,,4,4,966
Tulare,2020-04-02,4,26,,,4,5,3
Shasta,2020-04-02,2,4,,,1,0,10
Orange,2020-04-02,129,225,,,67,47,96
Imperial,2020-04-02,4,16,,,3,5,6
Modoc,2020-04-02,0,1,,,0,0,
Humboldt,2020-04-02,1,8,,,0,2,8
San Diego,2020-04-02,144,343,,,69,35,206
Butte,2020-04-02,4,26,,,2,2,12
Lake,2020-04-02,0,1,,,0,0,2
Santa Cruz,2020-04-02,4,4,,,3,0,7
Contra Costa,2020-04-02,32,38,,,13,10,73
Trinity,2020-04-02,0,0,,,0,0,
Amador,2020-04-02,0,3,,,0,0,2
Siskiyou,2020-04-02,0,3,,,0,2,4
Ventura,2020-04-02,27,111,,,7,24,15
Yolo,2020-04-02,3,2,,,2,3,0
San Bernardino,2020-04-02,126,185,,,50,45,37
Nevada,2020-04-02,38,58,,,2,1,6
Stanislaus,2020-04-02,30,43,,,11,7,22
Mendocino,2020-04-02,0,1,,,0,0,8
Kings,2020-04-02,2,6,,,1,1,7
Mariposa,2020-04-02,0,1,,,0,0,
Calaveras,2020-04-02,0,1,,,0,0,5
Riverside,2020-04-02,136,181,,,45,49,104
Sacramento,2020-04-02,71,92,,,24,19,80
Tehama,2020-04-02,0,1,,,0,1,4
San Mateo,2020-04-03,65,39,,,26,4,38
Humboldt,2020-04-03,1,7,,,0,0,10
Stanislaus,2020-04-03,28,45,,,12,8,22
Orange,2020-04-03,131,182,,,66,36,151
Inyo,2020-04-03,8,102,,,1,2,1
Madera,2020-04-03,0,5,,,0,1,7
Yuba,2020-04-03,2,12,,,2,2,5
Tehama,2020-04-03,0,0,,,0,0,8
Solano,2020-04-03,16,21,,,7,5,23
Fresno,2020-04-03,15,81,,,7,16,35
Los Angeles,2020-04-03,962,1239,,,422,209,473
San Bernardino,2020-04-03,118,204,,,44,53,57
Napa,2020-04-03,1,9,,,0,1,9
Kern,2020-04-03,35,73,,,12,16,47
Glenn,2020-04-03,0,0,,,0,0,
San Diego,2020-04-03,171,308,,,84,28,216
Mono,2020-04-03,18,2,,,0,0,2
Marin,2020-04-03,6,16,,,3,5,17
Plumas,2020-04-03,0,0,,,0,0,
Siskiyou,2020-04-03,0,3,,,0,1,4
Nevada,2020-04-03,2,4,,,2,1,5
Colusa,2020-04-03,1,0,,,1,0,5
Kings,2020-04-03,0,3,,,1,0,3
Tuolumne,2020-04-03,0,0,,,0,0,1
San Benito,2020-04-03,2,0,,,2,0,0
San Francisco,2020-04-03,80,71,,,39,8,74
Tulare,2020-04-03,6,15,,,5,2,3
Mariposa,2020-04-03,0,2,,,0,0,
Ventura,2020-04-03,22,116,,,6,28,56
Butte,2020-04-03,3,19,,,2,6,9
San Joaquin,2020-04-03,41,38,,,18,8,22
Sonoma,2020-04-03,6,24,,,2,3,15
El Dorado,2020-04-03,15,9,,,0,4,14
Shasta,2020-04-03,2,9,,,1,3,14
Sacramento,2020-04-03,77,76,,,28,17,76
Monterey,2020-04-03,16,18,,,3,1,17
Yolo,2020-04-03,2,7,,,3,6,4
Sutter,2020-04-03,0,0,,,,,
Del Norte,2020-04-03,0,2,,,0,0,2
Lake,2020-04-03,0,2,,,0,1,2
Riverside,2020-04-03,105,182,,,44,59,127
Amador,2020-04-03,0,0,,,0,0,1
Alameda,2020-04-03,64,74,,,32,13,117
Placer,2020-04-03,21,23,,,10,1,7
Lassen,2020-04-03,0,3,,,0,0,
Imperial,2020-04-03,9,7,,,7,0,5
Mendocino,2020-04-03,0,5,,,0,1,6
Trinity,2020-04-03,0,0,,,0,0,
Santa Barbara,2020-04-03,27,29,,,18,4,50
Merced,2020-04-03,4,5,,,1,1,4
Modoc,2020-04-03,0,0,,,0,0,
Santa Cruz,2020-04-03,4,8,,,3,0,2
San Luis Obispo,2020-04-03,4,5,,,3,2,967
Calaveras,2020-04-03,0,1,,,0,0,5
Contra Costa,2020-04-03,31,39,,,15,10,75
Santa Clara,2020-04-03,164,83,,,71,17,97
Trinity,2020-04-04,0,0,,,0,0,
Merced,2020-04-04,5,14,,,1,1,6
Inyo,2020-04-04,8,106,,,1,1,2
Lake,2020-04-04,0,4,,,0,1,4
San Mateo,2020-04-04,66,19,,,25,6,40
Sacramento,2020-04-04,69,76,,,25,18,82
Del Norte,2020-04-04,0,2,,,0,0,1
Napa,2020-04-04,1,8,,,0,1,6
Kings,2020-04-04,1,9,,,1,0,0
Tuolumne,2020-04-04,0,1,,,0,1,2
Los Angeles,2020-04-04,1007,1190,,,449,181,537
Plumas,2020-04-04,0,0,,,0,0,
Glenn,2020-04-04,0,0,,,0,0,
Fresno,2020-04-04,14,93,,,7,20,36
Contra Costa,2020-04-04,30,47,,,12,7,87
Monterey,2020-04-04,16,25,,,4,2,18
Imperial,2020-04-04,9,10,,,5,2,5
Sonoma,2020-04-04,7,16,,,2,6,15
Marin,2020-04-04,5,16,,,3,5,12
Santa Clara,2020-04-04,159,79,,,72,19,91
Mendocino,2020-04-04,0,3,,,0,1,7
Solano,2020-04-04,16,19,,,7,2,23
Placer,2020-04-04,23,14,,,10,1,12
Mono,2020-04-04,20,2,,,0,0,2
Santa Cruz,2020-04-04,4,6,,,3,0,7
Tulare,2020-04-04,8,20,,,5,1,6
San Bernardino,2020-04-04,138,254,,,51,66,67
Orange,2020-04-04,143,213,,,70,45,153
Humboldt,2020-04-04,1,4,,,0,0,7
Santa Barbara,2020-04-04,28,34,,,18,2,53
Mariposa,2020-04-04,0,2,,,0,0,
San Joaquin,2020-04-04,43,30,,,16,7,24
Stanislaus,2020-04-04,30,45,,,12,9,26
Ventura,2020-04-04,21,127,,,7,25,10
Yolo,2020-04-04,4,5,,,3,3,4
Amador,2020-04-04,0,0,,,0,0,2
Siskiyou,2020-04-04,0,2,,,0,1,5
Nevada,2020-04-04,2,6,,,2,2,5
Yuba,2020-04-04,2,16,,,2,2,7
San Benito,2020-04-04,2,3,,,2,0,0
San Luis Obispo,2020-04-04,4,6,,,3,3,954
Modoc,2020-04-04,0,0,,,0,0,
Colusa,2020-04-04,1,0,,,1,0,5
Riverside,2020-04-04,126,186,,,39,56,125
El Dorado,2020-04-04,15,9,,,0,3,12
Madera,2020-04-04,0,4,,,0,0,8
Lassen,2020-04-04,0,0,,,0,0,
Butte,2020-04-04,3,14,,,1,4,7
Tehama,2020-04-04,0,1,,,0,0,8
Shasta,2020-04-04,2,10,,,4,0,13
Alameda,2020-04-04,60,95,,,35,18,120
Calaveras,2020-04-04,0,1,,,0,0,5
Kern,2020-04-04,33,54,,,14,11,29
Sutter,2020-04-04,0,0,,,,,
San Francisco,2020-04-04,80,65,,,37,7,79
San Diego,2020-04-04,177,218,,,86,19,222
Sutter,2020-04-05,0,0,,,0,0,
Shasta,2020-04-05,8,11,,,4,0,13
Imperial,2020-04-05,9,9,,,8,1,3
Sonoma,2020-04-05,6,21,,,2,6,16
San Mateo,2020-04-05,69,15,,,24,6,36
Amador,2020-04-05,0,0,,,0,0,2
Tehama,2020-04-05,0,1,,,0,0,5
San Bernardino,2020-04-05,146,240,,,59,54,70
Santa Cruz,2020-04-05,5,12,,,4,4,10
Solano,2020-04-05,15,17,,,6,24,3
Stanislaus,2020-04-05,30,25,,,14,5,30
Trinity,2020-04-05,0,0,,,0,0,
San Diego,2020-04-05,179,220,,,89,31,247
Merced,2020-04-05,15,10,,,1,3,8
Monterey,2020-04-05,16,15,,,4,0,23
Santa Barbara,2020-04-05,31,26,,,18,2,59
San Joaquin,2020-04-05,46,24,,,17,4,19
San Luis Obispo,2020-04-05,2,11,,,2,9,28
Marin,2020-04-05,5,15,,,3,5,13
Siskiyou,2020-04-05,0,2,,,0,2,3
Modoc,2020-04-05,0,0,,,0,0,
Del Norte,2020-04-05,0,1,,,0,0,1
Butte,2020-04-05,2,16,,,1,6,10
Madera,2020-04-05,0,1,,,0,0,8
Mono,2020-04-05,20,2,,,0,0,2
Mariposa,2020-04-05,0,2,,,0,0,
Glenn,2020-04-05,0,0,,,0,0,
Contra Costa,2020-04-05,29,35,,,15,10,74
Colusa,2020-04-05,1,0,,,1,0,5
Napa,2020-04-05,1,8,,,0,1,11
Placer,2020-04-05,23,13,,,10,1,10
Orange,2020-04-05,144,221,,,70,46,156
Los Angeles,2020-04-05,1094,1082,,,473,166,554
Plumas,2020-04-05,0,0,,,0,0,
Tuolumne,2020-04-05,0,0,,,0,0,4
Humboldt,2020-04-05,2,3,,,0,0,8
El Dorado,2020-04-05,16,6,,,0,3,7
Fresno,2020-04-05,16,81,,,8,15,39
Yolo,2020-04-05,3,6,,,3,3,4
Yuba,2020-04-05,1,14,,,1,1,10
San Francisco,2020-04-05,79,68,,,37,11,74
Alameda,2020-04-05,72,87,,,39,13,113
Santa Clara,2020-04-05,166,69,,,68,18,90
Riverside,2020-04-05,129,207,,,47,60,130
Sacramento,2020-04-05,64,78,,,23,26,82
Kern,2020-04-05,23,27,,,12,4,40
Ventura,2020-04-05,21,128,,,7,28,12
San Benito,2020-04-05,3,0,,,2,0,0
Lake,2020-04-05,0,4,,,0,2,3
Inyo,2020-04-05,9,106,,,1,0,3
Lassen,2020-04-05,0,0,,,0,0,
Tulare,2020-04-05,4,20,,,8,2,3
Mendocino,2020-04-05,0,3,,,0,2,4
Calaveras,2020-04-05,0,0,,,0,0,6
Kings,2020-04-05,3,1,,,2,0,0
Nevada,2020-04-05,2,4,,,2,1,3
Imperial,2020-04-06,9,14,,,7,2,3
Riverside,2020-04-06,129,193,,,46,65,152
Del Norte,2020-04-06,0,3,,,0,0,0
Tulare,2020-04-06,12,24,,,8,3,16
San Francisco,2020-04-06,80,71,,,34,9,71
Mono,2020-04-06,20,2,,,0,0,2
Fresno,2020-04-06,18,81,,,11,20,45
Stanislaus,2020-04-06,28,28,,,12,4,37
Los Angeles,2020-04-06,1166,1070,,,486,175,587
Butte,2020-04-06,1,15,,,1,5,9
Lassen,2020-04-06,0,0,,,0,0,
Monterey,2020-04-06,16,15,,,5,1,18
Shasta,2020-04-06,6,3,,,2,2,28
San Bernardino,2020-04-06,148,185,,,60,43,102
Humboldt,2020-04-06,3,12,,,0,3,2
Glenn,2020-04-06,0,0,,,0,0,
Kern,2020-04-06,24,36,,,12,5,39
Marin,2020-04-06,8,8,,,4,4,13
Santa Clara,2020-04-06,181,49,,,79,10,100
Sonoma,2020-04-06,6,18,,,2,4,20
Madera,2020-04-06,0,2,,,0,1,8
Napa,2020-04-06,0,7,,,0,0,15
Placer,2020-04-06,20,12,,,10,1,24
Plumas,2020-04-06,0,0,,,0,0,
Solano,2020-04-06,15,21,,,6,6,28
Santa Barbara,2020-04-06,34,26,,,19,5,54
Sacramento,2020-04-06,77,78,,,26,19,75
San Benito,2020-04-06,3,3,,,2,0,0
El Dorado,2020-04-06,16,1,,,0,0,10
Amador,2020-04-06,0,0,,,0,0,2
Lake,2020-04-06,0,8,,,0,2,1
Siskiyou,2020-04-06,0,0,,,0,0,5
Contra Costa,2020-04-06,30,28,,,15,11,78
Merced,2020-04-06,4,2,,,0,2,4
Nevada,2020-04-06,1,5,,,1,2,4
Tehama,2020-04-06,0,0,,,0,0,4
San Luis Obispo,2020-04-06,2,3,,,2,2,42
Colusa,2020-04-06,0,0,,,0,0,6
Kings,2020-04-06,3,3,,,2,0,3
Orange,2020-04-06,145,171,,,73,33,134
Mariposa,2020-04-06,0,3,,,0,0,
Yuba,2020-04-06,1,19,,,1,3,7
Ventura,2020-04-06,22,106,,,9,20,32
Calaveras,2020-04-06,0,0,,,0,0,6
Sutter,2020-04-06,0,0,,,,,
San Joaquin,2020-04-06,31,32,,,14,3,20
Tuolumne,2020-04-06,0,0,,,0,0,
Inyo,2020-04-06,9,114,,,1,0,3
Modoc,2020-04-06,0,0,,,0,0,
Yolo,2020-04-06,4,0,,,3,4,-3
San Mateo,2020-04-06,68,20,,,25,5,36
Trinity,2020-04-06,0,0,,,0,0,
Santa Cruz,2020-04-06,5,9,,,4,2,5
Mendocino,2020-04-06,0,2,,,0,2,10
San Diego,2020-04-06,187,224,,,83,25,270
Alameda,2020-04-06,79,70,,,43,19,92
Santa Cruz,2020-04-07,4,4,,,4,3,4
San Joaquin,2020-04-07,31,33,,,14,4,20
El Dorado,2020-04-07,16,2,,,0,3,10
Los Angeles,2020-04-07,1251,1350,,,517,162,603
Mariposa,2020-04-07,0,3,,,0,0,
Lake,2020-04-07,0,0,,,0,0,1
Riverside,2020-04-07,129,207,,,57,57,129
San Luis Obispo,2020-04-07,2,5,,,2,4,30
Kings,2020-04-07,3,4,,,2,0,3
Sacramento,2020-04-07,74,91,,,28,18,72
Plumas,2020-04-07,0,1,,,0,0,
Santa Clara,2020-04-07,187,47,,,77,7,105
Sonoma,2020-04-07,6,28,,,2,6,21
San Francisco,2020-04-07,88,116,,,36,9,57
Butte,2020-04-07,1,14,,,1,5,6
Monterey,2020-04-07,18,25,,,5,4,21
Lassen,2020-04-07,0,1,,,0,0,
Mendocino,2020-04-07,0,2,,,0,0,9
Modoc,2020-04-07,0,1,,,0,0,
San Bernardino,2020-04-07,146,178,,,54,49,126
San Mateo,2020-04-07,63,13,,,26,2,35
Siskiyou,2020-04-07,0,1,,,0,1,5
Glenn,2020-04-07,0,0,,,0,0,
Tulare,2020-04-07,8,23,,,5,6,10
Contra Costa,2020-04-07,31,38,,,17,9,82
Stanislaus,2020-04-07,28,40,,,13,9,32
Yuba,2020-04-07,2,25,,,1,5,6
Yolo,2020-04-07,2,3,,,2,1,4
Shasta,2020-04-07,5,8,,,2,3,6
Alameda,2020-04-07,76,84,,,43,25,90
Marin,2020-04-07,6,5,,,4,4,12
Tuolumne,2020-04-07,0,0,,,0,0,0
Sutter,2020-04-07,0,0,,,,,
San Benito,2020-04-07,3,3,,,2,0,0
Orange,2020-04-07,143,144,,,71,29,136
Del Norte,2020-04-07,0,3,,,0,1,2
Merced,2020-04-07,3,3,,,0,3,3
Amador,2020-04-07,0,0,,,0,0,3
Colusa,2020-04-07,0,0,,,0,0,6
Tehama,2020-04-07,0,1,,,0,0,2
Placer,2020-04-07,19,18,,,9,3,20
Inyo,2020-04-07,9,121,,,1,0,3
Madera,2020-04-07,0,3,,,0,1,7
San Diego,2020-04-07,203,124,,,87,29,189
Mono,2020-04-07,20,2,,,0,0,2
Calaveras,2020-04-07,0,1,,,0,0,8
Humboldt,2020-04-07,2,7,,,0,0,7
Fresno,2020-04-07,20,82,,,11,13,50
Trinity,2020-04-07,0,0,,,0,0,
Napa,2020-04-07,0,5,,,0,3,7
Kern,2020-04-07,28,91,,,14,13,50
Nevada,2020-04-07,1,4,,,1,2,3
Ventura,2020-04-07,22,68,,,9,20,31
Imperial,2020-04-07,9,14,,,7,2,3
Santa Barbara,2020-04-07,41,8,,,23,1,48
Solano,2020-04-07,14,24,,,7,6,31
Santa Barbara,2020-04-08,42,18,,,19,1,51
Santa Cruz,2020-04-08,4,9,,,3,4,8
Los Angeles,2020-04-08,1331,1077,,,532,211,582
Tuolumne,2020-04-08,0,0,,,0,0,1
Merced,2020-04-08,1,1,,,0,2,5
Riverside,2020-04-08,149,145,,,56,41,154
Tehama,2020-04-08,0,2,,,0,0,4
Kern,2020-04-08,31,57,,,16,3,32
Del Norte,2020-04-08,0,2,,,0,1,4
El Dorado,2020-04-08,16,3,,,0,1,10
San Francisco,2020-04-08,90,116,,,36,17,55
Siskiyou,2020-04-08,0,3,,,0,1,5
Glenn,2020-04-08,0,0,,,0,0,
